price,type,size,location
£850,2+1,65m²,Zeytinlik / Girne
£850,2+1,85m²,Alsancak / Girne
"£1,500",3+1,160m²,Girne Merkez / Girne
£700,1+1,65m²,Aşağı Girne / Girne
£550,2+1,90m²,Girne Merkez / Girne
£800,2+1,88m²,Alsancak / Girne
£750,2+1,75m²,Girne Merkez / Girne
£700,2+1,80m²,Aşağı Girne / Girne
"£1,000",3+1,120m²,Yukarı Girne / Girne
£800,2+1,90m²,Ozanköy / Girne
£750,2+1,80m²,Alsancak / Girne
£850,2+1,80m²,Yukarı Girne / Girne
"£1,500",3+1,100m²,Doğanköy / Girne
"£1,500",3+1,100m²,Doğanköy / Girne
"£1,300",3+1,150m²,Yeşiltepe / Girne
£800,2+1,85m²,Girne Merkez / Girne
£600,2+1,70m²,Alsancak / Girne
£850,2+1,90m²,Alsancak / Girne
£750,1+1,70m²,Alsancak / Girne
£600,2+1,70m²,Alsancak / Girne
£700,2+1,80m²,Ozanköy / Girne
£550,1+1,50m²,Ozanköy / Girne
£900,2+1,80m²,Girne Merkez / Girne
"£1,500",1+1,70m²,Girne Merkez / Girne
"£1,000",2+1,115m²,Girne Merkez / Girne
£950,2+1,90m²,Girne Merkez / Girne
£950,2+1,90m²,Girne Merkez / Girne
£600,1+1,60m²,Alsancak / Girne
£430,1+0,28m²,Çatalköy / Girne
£750,2+1,80m²,Girne Merkez / Girne
£750,2+1,85m²,Girne Merkez / Girne
£850,3+1,160m²,Yukarı Girne / Girne
£700,1+1,65m²,Girne Merkez / Girne
£900,2+1,80m²,Girne Merkez / Girne
£700,2+1,80m²,Çatalköy / Girne
"£1,000",2+1,95m²,Girne Merkez / Girne
"£1,000",3+1,120m²,Girne Merkez / Girne
£650,1+1,65m²,Girne Merkez / Girne
£900,2+1,70m²,Girne Merkez / Girne
"£1,200",3+1,160m²,Girne Merkez / Girne
£450,1+1,56m²,Çatalköy / Girne
£550,1+1,58m²,Edremit / Girne
£400,1+1,58m²,Esentepe / Girne
£550,,1+1,Esentepe / Girne
"£1,000",3+1,120m²,Girne Merkez / Girne
£750,,2+1,Çatalköy / Girne
£900,2+1,85m²,Alsancak / Girne
£800,2+1,80m²,Girne Merkez / Girne
£700,2+1,90m²,Esentepe / Girne
"£1,200",3+1,135m²,Girne Merkez / Girne
£800,2+1,90m²,Girne Merkez / Girne
"£1,100",1+1,60m²,Girne Merkez / Girne
"£2,000",3+1,160m²,Girne Merkez / Girne
"£1,000",2+1,96m²,Girne Merkez / Girne
£750,3+1,95m²,Alsancak / Girne
£500,1+1,60m²,Alsancak / Girne
£500,1+1,55m²,Alsancak / Girne
£750,2+1,75m²,Girne Merkez / Girne
£750,2+1,70m²,Girne Merkez / Girne
£750,2+1,70m²,Girne Merkez / Girne
£750,2+1,70m²,Girne Merkez / Girne
"£1,000",3+1,130m²,Girne Merkez / Girne
£650,3+1,110m²,Alsancak / Girne
£750,3+1,125m²,Karşıyaka / Girne
£750,2+1,80m²,Girne Merkez / Girne
£650,2+1,110m²,Alsancak / Girne
"€7,000",1+0,40m²,Zeytinlik / Girne
"£1,000",2+1,110m²,Yukarı Girne / Girne
£850,2+1,65m²,Girne Merkez / Girne
"£1,500",3+1,135m²,Girne Merkez / Girne
£950,2+1,100m²,Yukarı Girne / Girne
£775,3+1,120m²,Lapta / Girne
"€7,000",1+0,35m²,Zeytinlik / Girne
£800,3+1,200m²,Zeytinlik / Girne
£850,3+1,130m²,Yukarı Girne / Girne
"£1,000",3+1,135m²,Yukarı Girne / Girne
£550,2+1,85m²,Lapta / Girne
£500,1+0,500m²,Yukarı Girne / Girne
£850,2+1,85m²,Girne Merkez / Girne
£550,3+1,145m²,Lapta / Girne
"£1,400",3+1,125m²,Girne Merkez / Girne
£950,2+1,90m²,Girne Merkez / Girne
£750,2+1,75m²,Girne Merkez / Girne
£500,1+0,30m²,Girne Merkez / Girne
£600,2+1,90m²,Karaoğlanoğlu / Girne
£600,1+1,55m²,Karaoğlanoğlu / Girne
"£7,000",5+2,481m²,Girne Merkez / Girne
£850,2+1,90m²,Lapta / Girne
£850,2+1,100m²,Lapta / Girne
"£1,000",2+1,100m²,Esentepe / Girne
